user_id,timestamp,event_type,latency_since_last_action,geo_distance_from_last_ip,device_switch_count,session_duration,label
1424cc0a,2025-06-22 23:41:13.892271,logout,1.7248827554180253,0.0,0,1.724883,0
1424cc0a,2025-06-22 23:41:16.149988,checkout,2.2577165362252036,0.0,0,3.9826,0
1424cc0a,2025-06-22 23:41:18.386918,checkout,2.2369304168724113,0.0,0,6.21953,0
1424cc0a,2025-06-22 23:41:21.071143,add_to_cart,2.6842250616328776,0.0,0,8.903755,0
8128c71f,2025-06-22 21:16:14.306909,browse,2.1395206461000686,0.0,0,2.139521,0
8128c71f,2025-06-22 21:16:16.812167,location_switch,2.5052576424032633,7.095609329882427,0,4.644779,0
8128c71f,2025-06-22 21:16:18.549582,login,1.7374150964109263,0.0,0,6.382194,0
8128c71f,2025-06-22 21:16:20.263892,login,1.7143099171229292,0.0,0,8.096504,0
8128c71f,2025-06-22 21:16:21.801851,browse,1.5379585811264476,0.0,0,9.634463,0
8128c71f,2025-06-22 21:16:22.495576,checkout,0.6937254936531994,0.0,0,10.328188,0
8128c71f,2025-06-22 21:16:24.970761,checkout,2.4751848411984514,0.0,0,12.803373,0
8128c71f,2025-06-22 21:16:27.378984,login,2.4082225404756636,0.0,0,15.211596,0
8128c71f,2025-06-22 21:16:28.617046,checkout,1.2380620011920696,0.0,0,16.449658,0
c9215dfd,2025-06-27 22:05:14.900212,checkout,2.732824384460777,0.0,0,2.732824,0
c9215dfd,2025-06-27 22:05:16.787324,contact_support,1.887111849756732,0.0,0,4.619936,0
c9215dfd,2025-06-27 22:05:18.821088,logout,2.033764102343962,0.0,0,6.6537,0
c9215dfd,2025-06-27 22:05:20.108714,login,1.2876259068932716,0.0,0,7.941326,0
c9215dfd,2025-06-27 22:05:21.836523,add_to_cart,1.7278086377374087,0.0,0,9.669135,0
c9215dfd,2025-06-27 22:05:23.891984,location_switch,2.055461294854933,4.245032112888486,0,11.724596,0
c9215dfd,2025-06-27 22:05:26.079833,change_device,2.1878490091728358,0.0,1,13.912445,0
7ba61533,2025-06-24 21:09:13.867261,checkout,1.699873074947044,0.0,0,1.699873,0
7ba61533,2025-06-24 21:09:16.340981,change_device,2.4737199105233194,0.0,1,4.173593,0
7ba61533,2025-06-24 21:09:18.486498,browse,2.145517000631091,0.0,1,6.31911,0
